,Beauty,F&B,Gas,Groceries,Health,HouseHold,Lifestyle,Listrik,Transport
2024-04-14,171446.88557027807,574172.3228793709,229770.46010570507,923148.7809679362,115679.93852348538,346379.33947366854,287952.6136147764,403322.7252981879,207130.84812328662
2024-04-21,171858.00125671612,574384.2196904472,229034.66583692445,918682.5908902601,114815.26245916351,345561.94454037084,287686.6141691373,402623.251626605,207178.01536689835
2024-04-28,170740.66986583578,569516.6106070788,228641.503537124,908207.7031688397,114668.76911267832,341899.32571400545,287023.25922336185,400179.91313129093,205791.99214189284
2024-05-05,170649.77555641247,567085.5779959788,228391.51576188073,913534.1043883142,113073.4647547906,340951.1734485523,282747.0303563263,393981.540897438,204773.1910337768
2024-05-12,168356.35013983923,565973.6260113032,225926.75774990124,898594.264074035,111914.69941464538,338760.6569998831,282320.7868679276,394701.3826337405,204476.90876443998
2024-05-19,166331.3970058252,556526.5195989477,222816.8853770161,889508.9890883513,112002.69468356362,336964.9830468735,278649.8232727543,394450.053809874,200560.15876279018
2024-05-26,166597.53106918998,553750.2119218257,221436.09136731343,883459.8474155841,110520.40109138131,332053.34879473475,276888.954289852,385532.6184288392,198848.4671621788
2024-06-02,163219.0609922711,541803.710255476,215002.6483362179,875999.3132251068,108474.56970124523,327960.37146633526,269654.9544206206,379965.44925323717,195607.77983482397
2024-06-09,161142.75567478975,538298.2088490343,215938.24506207055,855094.6301708801,106959.90814021188,322309.95898444165,268362.98132682143,376534.9488624672,192548.8076776303
2024-06-16,157574.78870319002,532415.0876944786,209784.7526783554,846344.5852279259,106324.95062077414,319402.3884035055,263652.0572516869,370714.4781683002,189845.60292334415
2024-06-23,155669.9570215733,514081.7022995723,207741.88447855308,834132.5676811471,103457.45676354444,312771.1323238736,260670.73546323797,366269.85602440214,186863.01016359107
2024-06-30,153517.81060062832,509456.49072247685,203459.8216498351,821090.3886068974,103111.0822488586,305577.6054514315,256311.91966478678,355812.8409299666,184445.07060780755
2024-07-07,149888.19990363848,503947.49727363535,199707.2453065527,804713.4733502032,100050.65302381286,303607.9451285982,250367.87610931447,353033.28731098503,183015.90231207694
2024-07-14,148350.04502882372,493053.2915851075,198585.1888074645,788229.3367240106,99031.37697284718,297183.3979389375,245890.2351948874,346525.8721423406,177037.48672542916
2024-07-21,144974.16709100417,485676.68504490575,193431.8269432791,772287.7516957691,96785.454834421,290184.7261851938,242236.0784700421,339075.4178133883,174134.61255507797
2024-07-28,142640.77001821532,474688.50480174477,190825.89098914445,762262.1239618404,95541.28726924803,284999.8412100217,236978.43110012315,333931.6302443369,171374.63768487223
2024-08-04,139959.50069296456,468252.4099758043,187167.4536239696,744568.9407634528,93335.1301003673,281266.42462198436,235070.44737287617,329426.70544778253,168849.15574640268
2024-08-11,139503.70559415614,459992.4634307679,184629.70343492235,724925.2484968185,91994.93485081347,276923.7711044502,229729.31925906474,323793.71147852344,165974.5920776886
2024-08-18,135994.47276235814,456268.1074238548,181416.28279894235,727104.0828481591,90690.19004163891,272305.12976027,223040.5908607006,315343.77279266465,164361.20103164722
2024-08-25,133318.98219486684,447676.93674686557,177533.3616312564,718881.1547861247,88907.08319983176,268691.49379333184,223051.914748529,314363.8960738508,158750.96560641882
2024-09-01,133082.43066100767,442395.746578289,177616.96278868752,697031.0541347942,88680.76015733025,267480.98001572513,219477.69018549556,308973.0128873638,156810.38948914025
2024-09-08,130173.16737896614,435932.97463950847,174291.31023876456,695101.3444688637,87135.92662772714,263784.9149612412,216442.23875808113,306001.39660989743,156860.26978492414
2024-09-15,130159.2446635774,432122.9743308982,171780.21405777204,695823.800869748,86554.09802054589,260291.1473215452,215124.2116477615,303467.4876580085,156990.6865295779
2024-09-22,127753.42067685371,429662.5154296627,171869.44919871882,697420.2393175857,85651.60749253811,259858.3124106783,215508.71603939708,301257.8123990513,153658.72469527123
2024-09-29,127766.17669207371,430193.85111843754,173183.84809563102,686815.5280506886,84560.3773231007,255975.8466022038,216264.6614165562,302530.8926536816,151807.91036877266
2024-10-06,128774.81355695965,427704.76423147536,172353.1119155239,683099.5489287251,85655.93120540513,257851.22583503585,214770.09330909426,299983.5513737321,154866.66262166665
2024-10-13,129373.96963195219,430124.83613209316,171411.50746153298,686309.052619344,87086.38750877688,260354.19891851093,213942.07025965638,298621.0735682259,154803.43513767922
2024-10-20,129467.3064170722,436317.769350546,172102.44923725454,695306.3334428846,86618.1556147355,258350.4915692709,216134.5139209296,301101.8098998057,154225.34868129616
2024-10-27,130089.27116015692,436097.83633173956,173246.37477804677,691688.1826005585,86774.37472476489,259080.56385096756,216386.14939880642,304056.7329556306,155324.22320568888
2024-11-03,131094.18621758482,436918.3211338363,177170.0999692632,697176.6399162083,87415.23057824704,261661.89464566397,217998.43952067403,308564.4918474989,156711.2474394609
2024-11-10,131645.64782519516,445518.16586531233,177387.98787619255,706093.2356071159,88514.25915838651,263874.6290799279,219814.61219466,310816.0074405923,159404.92896729146
2024-11-17,133919.20304453626,447176.7655702205,179708.82324830082,713301.8119714041,89912.95035814248,267741.02953947306,221908.69099294755,312249.4310641347,160787.21969243407
2024-11-24,136063.74088014837,449602.0885232827,182909.2433985228,728006.5210419431,90349.07356459108,272262.6777688514,226861.29529741438,322637.2622570473,164135.72147711986
2024-12-01,139369.76637110335,459402.8665608371,185008.02209427874,745575.6455748872,92941.77731496055,275045.49887411034,231159.10803146544,323809.51443090284,163723.14564511302
2024-12-08,141188.7255831858,465093.05975080014,187648.9736755252,752924.3803778477,94311.69856839358,281885.4512329433,234764.2401891638,331070.96147885366,168346.0475605963
2024-12-15,142115.29489611916,477246.4663320341,191053.75016776996,763990.9860589146,95984.14287128144,288228.5657859624,238542.66636113447,334422.17477073596,171111.6414503495
2024-12-22,146303.54723577836,486914.3268104148,194675.71108556227,777822.0043042433,97592.89404189304,290759.3342472442,242251.95785534946,341741.1752819431,175041.8744999435
2024-12-29,148473.10142324935,500064.1370592268,198311.99527490558,787144.1068108751,99184.4170845547,299802.75215258583,248696.8296288755,348580.20052788424,178030.05277763278
2025-01-05,150995.19867318094,505826.95234577847,202731.4831081842,811547.8533667775,101338.35740025702,303771.9684796122,250858.4020557508,355638.58448352764,182521.5276099987
2025-01-12,154702.62442988987,513598.47272217524,205710.43550348625,822322.6096826646,103125.15187571016,310033.6053049545,258043.14691440304,361752.7513653501,183419.23756141702
2025-01-19,157718.5457299605,525224.5009132539,209993.03486133364,836319.6594821097,104453.17703658852,312903.8403453989,260322.72220648915,367732.0356223343,188375.29763440392
2025-01-26,160266.66542351674,526366.1795080788,212676.89053213084,863802.8587203372,106092.00266967127,320418.19850895915,265006.46484360803,371774.4106668293,191984.34918190603
2025-02-02,161445.3553383944,540838.2646646426,216178.3264980646,865593.7768644567,108100.77380150525,322511.6361110298,268291.132646416,377173.9042151368,196160.7048698794
2025-02-09,164196.9463634932,550023.3484693229,217240.27350931006,873946.7325749879,110393.74717266868,330193.082542018,273421.3400586957,384249.3929822911,196881.03740047384
2025-02-16,166845.00796200524,551625.402347059,223045.0748593059,886809.5583535915,110444.82005447475,333450.87978659547,278880.07455385174,390358.2816996529,200207.88521006037
2025-02-23,169278.35299133026,564681.698927979,225075.41400388264,903509.4849487257,111630.7001311161,337923.26512195414,281555.69202053576,392885.8584476141,200632.55646188007
2025-03-02,169891.86035046607,568350.3777815695,227999.66481499304,908459.7004626846,113583.20777318494,338739.09014926275,284975.09602145175,399116.94667398353,202148.7286507383
2025-03-09,171546.52212504615,571247.6680737282,226018.0997651984,909904.3086602988,114482.62142262406,342028.92795167316,286795.6221116575,403142.20080553694,206783.2165672564
2025-03-16,172000.0217443682,577681.1979148414,232528.072004611,925435.7049376218,115306.51948210034,346555.3882771255,286670.03433912486,401665.9086663245,207390.723305564
2025-03-23,172769.8451725806,584566.7326133145,231416.41055936628,923551.4244079299,115899.97669271498,345911.47827494587,289031.51370399236,403758.38909651904,209461.0615895879
2025-03-30,174795.05501666083,581073.5344705301,233355.73034989106,936483.3812374844,116012.17263925937,349066.130737879,289334.1855050451,406187.5518299344,207786.73017976544
2025-04-06,175395.79273819114,581882.5938549609,231464.91102855848,934339.4600855947,116997.34019714304,346706.51872383564,292294.23982465384,407421.7518417781,209722.24718569146
2025-04-13,174189.456526888,579663.1448113937,232937.3927291603,927509.1877137559,115361.8574228106,349759.1895551465,288909.7877220892,405650.0906680786,210774.0929981774
2025-04-20,174535.25675047628,577150.7459998622,230656.72720623604,931964.6365245793,115440.82287231472,345716.42918196175,290754.8005734985,407859.10453448445,208916.86353999024
2025-04-27,173274.4103982827,578753.1174730172,230047.14221196683,922955.0667327602,115283.82820625679,346834.8166655132,289454.83130346425,404416.21155981696,207852.74341042832
2025-05-04,171433.14041442258,570916.3912031492,231136.67166103536,920301.6559291631,113789.7257480072,344772.4068612218,288815.32563610584,401208.6528719663,206308.07674919363
2025-05-11,170811.30507402183,568646.4434926836,227196.32875909068,911486.9759085941,113605.57837771099,340035.35901213664,283721.6557090307,395414.4278629746,203234.51673245532
2025-05-18,170047.04238008655,561784.2395672108,225408.78614682914,897379.9864746341,113426.41171968871,338660.0697611012,282379.59429153695,391782.1905501383,203892.23358842375
2025-05-25,166974.31513657674,557868.0651173968,223538.31395190107,888098.7855555795,111344.56635475415,334393.03272681875,281187.3725721889,390161.19707511476,199851.6497232665
2025-06-01,166064.7661329069,550471.7665667054,220350.7264093678,883540.0213559055,110042.87271355695,328974.3039978037,274046.7535555769,381014.28556667065,198323.5750000004
2025-06-08,160630.1908666169,544577.1821762589,216943.75183138918,865834.2303765563,107766.58408053652,323677.16736325406,269072.8658483916,381160.44808780693,193707.26875770692
2025-06-15,160762.66689454194,532545.7590570649,213893.28102414694,852498.6862337549,106455.9793068206,317348.5414950122,264560.3874847162,373397.7908102897,191113.97432145564
2025-06-22,157646.4195395562,524595.7601230252,212511.59456974172,836612.2256206163,104866.49130208975,315686.74354770465,263526.11376670597,373364.7259196718,190388.93974535313
2025-06-29,154713.25331890694,514011.45348306536,206525.72631197484,828027.7766984076,103132.8150061261,307527.8135064696,255875.24362618732,365559.70737934293,185612.43853804554
2025-07-06,152323.1558425172,506403.71771686175,203206.87939353575,820273.2210642558,102143.71207091228,304651.68681939313,253291.8266173536,354942.57973575324,184013.150240577
2025-07-13,148080.4850025242,499513.790194195,200478.86998064077,793442.7306815155,99992.95332267914,298747.1510528263,249831.91096459015,348813.28751867823,179414.98643301718
2025-07-20,146762.78236597552,491650.92581445887,197008.90764209614,783710.4046632437,97395.96187610057,294873.7867268646,245110.69655746012,344573.1856404954,174655.3355425623
2025-07-27,144630.2649326045,478902.6883694583,193670.27097752132,775581.8449095055,96364.87272519646,288271.7927587066,241135.8569201814,339826.22324328823,174037.7774445234
2025-08-03,143022.09135910316,475219.5842187542,189856.9579894252,756554.3455046013,94858.2247579464,283333.1699715734,236800.64702899609,328265.34774243005,169765.50190467638
2025-08-10,139228.68446547957,468780.3850776284,185013.51125951597,746435.5518739847,93648.33260538385,280332.58031480206,234294.22748194978,322647.7462370606,168169.68448718716
2025-08-17,136901.1156521521,459391.8734391325,184976.74600473043,729123.6837771299,92461.92757949885,275517.5587522702,227988.74761461315,319762.2394170311,165031.67280597246
2025-08-24,135238.83778230578,456742.5080813757,179673.86202697354,724994.0580687994,89902.55661408218,271704.54506576253,225179.0153519171,317455.15375554067,161349.3802728444
2025-08-31,134654.96373861728,444626.9008367102,178927.18499902668,713749.6210751324,88906.84601128865,268640.72568539425,222314.86261064603,313462.4904675167,160909.95986924236
2025-09-07,132838.25362209958,438860.6642079042,176034.64453645374,711098.6015286118,87765.67126377924,262880.022394899,222023.89024791963,311252.71072254964,161086.6291757633
2025-09-14,131108.166987909,433904.8231801868,175276.51117438602,706112.142290175,87553.31483093601,264146.15730144904,220301.3101367176,304746.66598707397,158250.2723815441
2025-09-21,131111.01401800895,439493.65558930277,174630.18033453543,707563.9262650022,87383.88814933914,262370.83007736824,218440.80405443802,300974.2296072104,156819.5101541038
2025-09-28,130338.01456416899,435853.268814745,174008.29908499419,697066.30017103,87337.13819306651,259005.38811145118,218588.04442054234,305453.6731134806,157286.05674435073
2025-10-05,130856.54154636787,433627.8976676179,173928.6644921929,695330.1602181591,86715.39635715754,259893.99489642508,215410.87858822654,302187.4580637367,156345.67098284463
2025-10-12,129796.47004995804,435109.9544670197,175377.72442954668,695833.5898482616,86722.0828186166,260587.05880929064,219289.046590049,300554.6692681739,156576.19265167575
2025-10-19,130595.92376964178,433325.1786470545,174909.09480763413,696409.5768532378,87303.65924918445,261481.59558257763,219973.49890979053,305551.0924411393,156027.54180056494
2025-10-26,131384.8164305094,445044.0384335704,175327.70675852068,703641.3889490921,87368.36024609065,263858.58504056983,220384.35673882137,308638.81839355256,158225.14027764086
2025-11-02,131725.26795158806,443066.06683056196,178061.2927185379,707207.2165604421,89593.37213597217,267792.8584981211,223598.75557377576,309706.50973172445,160319.38406999985
2025-11-09,134479.5196991796,447798.25195778284,180199.37647743287,716713.4678591114,88701.12248069508,270137.50907427154,221691.60347603806,312466.10080407007,160356.4594527674
2025-11-16,136157.76782837763,455021.00447388913,180055.02735051996,730400.9308050596,90733.68787227634,269955.62395833834,225947.7337867429,316965.7276336443,164436.4178882135
2025-11-23,137915.94522426047,460909.5568519372,184480.213578888,731505.083775034,92953.2098641339,276757.32524901634,228934.38756044526,321146.40380661545,165411.99673640376
2025-11-30,139903.87452481824,467492.4263101964,187474.25924211036,751651.860243714,93389.94317217973,282153.02972900233,234368.20727944598,324493.8189287537,167296.78528943483
2025-12-07,141372.373982882,472803.4873261195,189614.3058825331,764915.9378129318,94860.9151754458,285448.0168598735,236077.1608078637,331095.08024057973,171818.55131653204
2025-12-14,144624.9811939776,484313.55484634533,194629.66039471375,772543.5402176442,96448.25407929586,291517.40100988216,242514.31091342453,339106.6586012279,173670.44341109748
2025-12-21,147306.33854474756,496582.97601499635,196601.110322491,778517.2440420598,98285.38711388056,298145.15453283646,247652.12756690028,344877.477789075,177759.61271730866
2025-12-28,149663.09535505576,504246.2278052939,200478.64752943415,798980.9963554726,100862.95977531956,302065.1709331044,251310.34247005824,350911.9790433765,180055.18119933366
2026-01-04,152884.8160630713,514002.2343893347,203834.63530481057,821218.8067026222,100897.92260888247,306385.5235871042,255364.32269094497,355271.9776326719,183553.09288700807
2026-01-11,156049.79552928053,517877.81876448746,207677.92222980765,830557.9004797091,104597.88844176126,313061.1474844664,258343.08730165678,363091.4700351584,187340.31304790443
2026-01-18,159862.82568740685,525686.6088210167,210167.97326177004,841059.7844654814,104920.14559810756,317113.70427264326,263021.7467281749,365902.57077888923,190399.63086562976
2026-01-25,161202.02886721387,536589.1843917174,213321.40979419238,857026.7430222338,107247.40417377613,322178.0455801074,270013.84947760415,376144.8903461761,191489.33600670143
2026-02-01,163770.82144726382,545398.174461461,219698.04993552066,875776.659595201,108837.15022599851,326628.1959548729,273603.6173452513,384181.7045151912,195284.0710189812
2026-02-08,165875.9113819674,555841.2981921508,220395.36641007106,887156.245306363,110915.44051408005,334208.61167583225,276504.13529876474,384594.3423461077,199954.56396886214
2026-02-15,166660.3721503887,556100.3402985896,223141.20839969433,895574.6745999238,111267.23819863345,334971.2581248129,279643.3640042309,391206.67788270756,201600.4177442242
2026-02-22,170029.69891281196,570655.8235299811,224579.38897892818,905463.8187228688,113597.47587930692,342397.72022581496,280883.7140242756,397358.30027467344,203588.1430107844
2026-03-01,171799.30385971622,572118.750927754,228366.54652199108,914455.000482547,115514.90894648372,344258.05859013146,284918.31981374515,402952.1140821891,204882.24082898078
2026-03-08,175036.08811531842,576228.3190949797,229595.11891453175,919983.194093763,114777.51735167322,344278.353799706,291037.0347438487,403322.4721603684,206854.62514799708
2026-03-15,174188.39242469726,578578.6162227932,234085.56602451383,936235.7062153877,116316.62851599393,349216.80023605336,288953.86911671876,405564.7759364452,207379.577001974
2026-03-22,175396.05082080167,579762.4927005073,234569.67084141128,932950.1331314292,116448.93578713603,347189.7408666255,292186.66696661216,405284.128566892,210112.7157300304
2026-03-29,175662.51699599664,587686.4292041566,233563.25075252308,941874.2384741051,117338.64415194691,352315.36367179774,294073.5563386199,410120.9686472655,210287.66716540777
2026-04-05,175004.99436195876,586454.9712185491,236761.10632557553,944119.9462886147,117263.90914882348,353090.8530048303,291567.18481528613,413963.8064806562,210187.8743663213
2026-04-12,176603.47140236993,582596.2787222596,235310.2378756365,941307.1331471715,116843.4927398003,350604.1746494893,293141.47857928247,410560.20398856676,210834.31406712925
2026-04-19,175849.44702498277,581047.2939047333,233389.1649504483,933129.5040849556,117100.93430941399,350756.3160448687,293314.8898393345,408960.5053708531,210670.1702683287
2026-04-26,175099.3475131897,580847.4500947994,230175.35902233628,932313.9793101859,117239.5564234983,351943.3832564403,290859.0800738964,407744.48233395943,211291.16640247783
2026-05-03,172737.82981269076,582238.7884925129,233517.43644430648,924809.1930612993,115517.79503999422,346081.1207511807,292618.62115922815,404626.95326859254,206743.14940693727
2026-05-10,173095.24427650298,572828.1834325939,228001.2922576376,913948.6514546843,115055.3113332747,342497.93570601696,284652.8318319038,400011.2381162469,207495.22119093154
2026-05-17,169345.01683155325,564230.1597126962,225549.8080912397,910078.2644796729,112950.96694016272,343015.30536098883,285317.4192101006,399032.35181928007,205351.4775592905
2026-05-24,168944.21765966987,561065.891804184,225694.67021776916,893972.2399783989,111857.83170447075,339952.0304644355,280624.12256045383,393571.2572905248,201503.70634174455
2026-05-31,168037.01528381428,553965.4362904868,224298.65049228168,892186.3098976159,111165.65218191138,332793.8906366854,278288.52280097385,388283.89484128315,199855.9206364756
2026-06-07,163354.9876242466,540250.7496196282,220181.45930930332,873330.2767739777,110140.65125966439,329712.9742893018,274048.1170531151,381188.18581115047,196505.59791730973
2026-06-14,161224.40689246886,538694.6967992753,216096.08270628026,862933.332968403,107943.89346750679,325310.47425263823,268498.7717363974,379462.44265678467,194146.07594998198
2026-06-21,159158.76293560374,529702.745047105,212706.7868907159,849581.2816823871,105899.48725926374,317054.32247476844,265426.2861768875,372359.2867651716,192259.0472062097
2026-06-28,156062.79226457962,523208.5125959228,209440.614232336,833313.1747994064,104293.24503948951,312152.83925728174,258411.62152769676,364059.9862133297,188273.5244155683
2026-07-05,152594.2278602264,517146.47501578345,205768.5625011548,822385.3108513734,101879.61308869917,309360.7626367841,257016.1017649243,360520.05283883744,184966.41805614135
2026-07-12,151125.4740929898,506396.5854468203,201713.26057314975,803828.6619702314,101018.29223776788,304675.6251418333,252162.7845189636,351635.3720438916,180901.58384630317
2026-07-19,147633.69866996945,494095.8664578264,198011.4363776373,795114.1302845706,99394.78416800442,297705.1742007896,248182.36930291064,344969.15561705513,176780.860747885
2026-07-26,146220.51500035753,483451.4208194162,194424.50110860865,772564.4582250456,97017.50195183753,290410.9198245092,244431.51570199413,339022.9344582987,174850.76342337095
2026-08-02,142726.99282328202,484488.6028379826,190468.1167430765,765393.8436459585,95376.01959209185,289813.7136654639,239487.12646519113,331539.27236299636,173185.82053812637
2026-08-09,142282.7281063584,470548.9704270205,187879.6946599269,760397.1949434079,94213.12398322286,281444.0982584726,235385.57394573998,330105.8462051208,167969.8816921836
2026-08-16,138422.9360584802,463402.74332222366,183654.21122278116,737387.3468494839,92455.22415046797,277518.0453837076,230582.62462539403,321153.0405276168,165862.87080191984
2026-08-23,136876.4996012503,456999.8397435735,182725.72135774465,728585.2640560581,91378.96418495679,274749.59822854353,227639.80027611295,317792.33001822885,164655.2958486961
2026-08-30,136081.44023677838,452066.2196477567,179639.81199118393,724569.2437919751,91364.06244375068,273273.8452785744,227268.9221481402,312467.4264061986,161679.37348213885
2026-09-06,133171.43222593976,446621.03384774085,177689.18463380449,715889.4229318395,89272.87412513714,269470.1248913588,225286.38669590783,312736.7324519014,160200.22545351458
2026-09-13,133178.97226509775,441927.1026966149,177524.3972366797,710780.5327391991,88493.0814667525,266639.05287883215,221382.99081151767,310089.81959419505,159228.81405341823
2026-09-20,133209.31068229617,439396.03136884683,177697.27377512373,707177.8344757071,87828.864841572,265152.8400283459,220439.09279504052,307962.50673228735,157445.68867613008
2026-09-27,130562.48414964745,439145.10540968785,176609.11204009343,705302.0676106116,88217.49370279553,263601.46515410196,218482.72632387173,305634.381043986,157245.00622908727
2026-10-04,131771.42337077783,437417.9313284276,173940.09669888165,706481.1885778442,87664.68656464336,264103.105225535,220854.19268471532,305092.1362108693,158592.6226973629
2026-10-11,132020.81213946277,437637.5523558953,174778.2385884649,704710.741527855,87559.24684335692,259857.45997101147,220541.6044359088,308406.4140300182,157014.44724852385
2026-10-18,132930.92770683352,441414.61074589816,177400.1852586556,704872.6256641954,88890.3590514702,264244.20991739637,223000.7893839139,307840.5087431781,157375.38774255532
2026-10-25,132254.07468561034,443301.8493523442,176593.2295648202,712993.162638245,89497.65998143608,266725.55833991297,220871.74235147348,311311.1317398157,159251.12278094218
2026-11-01,133335.45187628435,451512.63025844854,178876.42596479974,724003.7641987678,89250.31777452902,266925.06754676584,223403.81401972316,311877.6682501769,161849.71315557594
2026-11-08,136151.77583900426,445906.97436165606,181563.81165207998,723524.5032266914,89573.60980084741,272100.1243063005,226556.50684447627,317090.93901769636,162735.1539705527
2026-11-15,137687.60505257797,460944.9889553164,182318.14427534048,729247.8377021339,92147.00121002052,274623.026263827,229916.22283491233,323032.09184316033,164539.71688687964
2026-11-22,139602.86994294843,467831.8806652075,185992.04257973132,747974.9909714893,92601.01862391268,281463.2141578513,232088.74929504716,326327.45752946177,167337.92328399088
2026-11-29,141842.54120538273,466758.8745798462,187442.91456942842,754626.2356015721,94783.7828317547,285524.93968434224,234879.97371736617,329637.92093072773,168328.10936833828
2026-12-06,143426.7736716463,478932.58839089976,191314.35530648904,758972.2136177048,94972.8095663642,287174.87607198313,240996.41309920477,336302.61336139333,173169.38574379374
2026-12-13,146617.54563233277,487215.91569988395,195577.5890800919,784420.915292399,98075.20224212432,292660.45415157394,244973.67813561868,341279.9984499835,176077.1179596177
2026-12-20,149286.0689605271,493368.7694483824,197162.0257405391,792878.7651524674,98771.923772395,298021.6078626936,247298.43171688382,347835.0744028396,178511.13989997754
2026-12-27,151231.92991686257,503947.7698822973,202797.39937847023,809065.5654328227,101543.84437978818,302857.8977465253,254640.45930201912,353554.7987796323,183026.56423707562
2027-01-03,155908.00140358976,512252.4621204394,205991.92289471492,825374.1640968424,103012.91688073902,309309.87851650454,258977.19925354773,360232.64460357337,184395.6581352197
2027-01-10,157605.02225076378,528546.1679754922,210218.68670119043,839426.7857062095,104356.12866368832,313361.87201682845,262250.6165550263,367287.00767473306,189714.69516602418
2027-01-17,159057.5988120074,535509.4507659,213492.0160472772,855910.2149214064,106430.53280014287,318206.2298674125,266684.6247194857,371480.80062385346,192080.336020927
2027-01-24,163066.40088747576,545092.17334082,218129.4546713077,865319.311483056,108725.81634914529,326082.0381978512,271649.2150155622,377561.5119751018,194785.88548631012
2027-01-31,164349.53757496172,552072.6762522154,220232.62293949086,882482.0169400761,110106.6464449791,331105.39203159715,274057.1192082333,382757.9977952705,198078.77232132715
2027-02-07,168024.9494450093,555292.8238792984,222816.7757818113,891946.5385814105,111915.29715170452,333662.7983449149,279095.2660026258,387880.3428822575,200825.02490141307
2027-02-14,170471.28741952893,564029.8351185452,226258.75181673013,907501.0591783414,114056.44744910666,340547.71461669065,279980.08846136084,393608.55033758533,204621.06348910398
2027-02-21,170936.9627540455,573065.0180457673,229279.9306861154,917408.0005643683,113586.195522684,342157.58239187056,287016.36037822743,400568.1665367955,204893.95817664723
2027-02-28,173979.55347260408,574468.0850633396,231058.22190455347,920295.6925287327,116313.2872045982,346893.7906083986,286809.8357647324,402704.0050577878,207222.15833557304
2027-03-07,175001.1323995672,584087.651756647,232962.6539636903,936032.1775546458,116513.20910500482,350613.6094276483,293031.85262614425,408512.43428925565,210562.528648103
2027-03-14,176452.09844168936,585517.6975769164,233745.41274111794,935645.7639352425,116774.31019030078,351620.6877963314,292646.6054186978,410343.7068109352,210466.68254436675
2027-03-21,178095.37522445238,587972.2162726657,234900.80639906492,945487.0604595881,117116.69684543845,354027.6723431355,294190.05041835585,408791.6054305612,212817.81635455272
2027-03-28,177007.39990968382,592415.5365761287,234852.6493904483,946490.1679025973,118033.06713573547,353608.2375275406,294534.40094520437,414592.90293132194,214159.22158073104
2027-04-04,176819.0909403157,592391.9684906611,238262.10082796536,953402.8310462942,118717.08709835143,354474.0862520255,295280.6065135704,415315.81477814773,212499.65615205312
2027-04-11,176582.10864267492,589928.3994684326,235088.4627178008,944435.439883281,118102.38841640728,354189.69978346763,297188.5716229252,411842.3107371252,213312.31945179065
2027-04-18,176176.529710154,592192.9492546709,235024.94470070818,941474.1324095436,118614.50241437572,352456.9073279458,291537.5515524613,413241.5725224484,211107.7418554478
2027-04-25,175951.1374442572,583993.887435393,233960.21103618786,938636.7947834773,116613.72130585276,351752.76620796195,294944.47960980656,409188.7101126088,211890.01643984238
2027-05-02,175178.62455830973,584615.7076080182,234125.2718132074,931708.6706137147,116609.12924420845,347522.59370609885,291960.4636467059,408324.03117276984,210086.79428002477
2027-05-09,173753.55681620887,579969.5488672921,231099.76861065644,928778.640763562,115071.16242226768,346355.3468127096,287734.6208013641,402727.88479348866,208680.98091399783
2027-05-16,172519.6827388349,572223.7849085748,230446.80247541761,910330.9991772291,114781.34614268442,343371.2773640613,285154.6850121183,397960.41941286623,205698.13949763766
2027-05-23,170016.71643163855,567505.2159313724,226002.46272606295,902489.0837246418,113781.42037020206,339629.6603967172,285440.43297189375,396012.98828121426,202513.38294126568
